experiment_id,method_id,method_label,seed,dataset,split,class_index,class_angle,n,precision,recall,f1,source_file,notes
A4b-5,primary_only,primary_only,43,Alpha_100,val,2,45.0,352,0.7182741116751269,0.8039772727272727,0.7587131367292226,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,primary_only,primary_only,43,Alpha_100,val,3,60.0,155,0.6645569620253164,0.6774193548387096,0.670926517571885,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,primary_only,primary_only,43,Alpha_100,test,0,15.0,351,0.7002398081534772,0.8319088319088319,0.7604166666666666,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,primary_only,primary_only,43,Alpha_100,test,1,30.0,145,0.5932203389830508,0.2413793103448276,0.34313725490196073,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,primary_only,primary_only,43,Alpha_100,test,2,45.0,354,0.7473118279569892,0.7853107344632768,0.7658402203856749,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,primary_only,primary_only,43,Alpha_100,test,3,60.0,156,0.6645569620253164,0.6730769230769231,0.6687898089171974,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,43,Alpha_100,val,0,15.0,350,0.7313019390581718,0.7542857142857143,0.7426160337552743,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,43,Alpha_100,val,1,30.0,144,0.7272727272727273,0.2777777777777778,0.40201005025125625,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,43,Alpha_100,val,2,45.0,352,0.6600441501103753,0.8494318181818182,0.7428571428571429,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,43,Alpha_100,val,3,60.0,155,0.6818181818181818,0.5806451612903226,0.627177700348432,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
